类别,组别,项目,2018,2017,2016,2015
财政预算收入,0,收入总额,186030,182705.42,166823.16,160271.77
财政预算收入,1+2,全国一般公共预算收入,183177,172566.57,159552.08,152216.65
财政预算收入,1,中央一般公共预算收入,85357,81119.03,72357.31,69233.99
财政预算收入,1+,中央预算稳定调节基金,2130,1350,1000,1000
财政预算收入,1+,中央政府性基金预算、中央国有资本经营预算调入,323,283.35,315.06,0
财政预算收入,1=,中央收入总量,87810,82752.38,73672.37,70233.99
财政预算收入,2,地方一般公共预算收入,168164,156665.64,146681.12,138163.66
财政预算收入,2+,地方一般公共预算本级收入,97820,91447.54,87194.77,82982.66
财政预算收入,2+,中央对地方税收返还和转移支付收入,70344,65218.1,59486.35,55181
财政预算收入,2+,地方财政结转结余及调入资金,400,8505.5,5956.02,7055.12
财政预算收入,1=,地方收入总量,168564,165171.14,152637.14,145218.78
财政预算收入,0+,结转结余及调入资金,2853,10138.85,7271.08,8055.12
财政预算支出,0,支出总额,209830,206505.42,188623.16,176471.77
财政预算支出,4+5,全国一般公共预算支出,209830,203330.03,187841.14,175767.78
财政预算支出,4,中央一般公共预算支出,103310,95076.99,86890.35,80730
财政预算支出,4+,中央本级支出,32466,29858.89,27404,25549
财政预算支出,4+,中央对地方税收返还和转移支付,62207,65218.1,59486.35,55181
财政预算支出,4+,补充中央预算稳定调节基金,,3175.39,782.02,703.99
财政预算支出,4=,中央支出总量,,98252.38,87672.37,81433.99
财政预算支出,4+,地方一般公共预算支出,176864,173471.14,160437.14,150218.78
财政预算支出,5,补充中央预算稳定调节基金,,3175.39,782.02,703.99
财政预算赤字,0,赤字,23800,23800,21800,16200
财政预算赤字,1,中央财政赤字,15500,15500,14000,11200
财政预算赤字,2,地方财政赤字,8300,8300,7800,5000
中央预备费,,中央预备费支出,,60.7,146.1,
中央预备费,,转入中央预算稳定调节基金,,439.3,353.9,
中央预备费,,中央预算稳定调节基金余额,2536.05,4666.05,2678.06,1156.37
国债,0,中央财政国债余额,156908.35,,120066.75,106599.59
全国政府性基金,1,全国政府性基金收入,,61462.49,46618.62,42330.14
全国政府性基金,1,2015年结转收入,,,249.84,656.13
全国政府性基金,1,地方政府发行专项债券收入,,,4000,1000
全国政府性基金,0,全国政府性基金收入总额,,,50868.46,43986.27
全国政府性基金,0,全国政府性基金支出总额,,60700.22,46851.52,42363.85
中央政府性基金,,中央政府性基金收入,3863.04,3824.77,4178.08,4112.02
中央政府性基金,,上年结转收入,385.59,,249.84,656.13
中央政府性基金,,地方上解收入,,,7.59,
中央政府性基金,0,中央政府性基金收入总额,4248.63,,4435.51,4768.15
中央政府性基金,0,中央政府性基金支出,4247.17,3669.19,3999.98,4356.42
中央政府性基金,,中央本级支出,3262.71,,2889.86,3024.49
中央政府性基金,,对地方转移支付,984.46,,1110.12,1331.93
中央政府性基金,,中央政府性基金盈余,,,435.53,411.73
中央政府性基金,,中央政府性基金结转下年,,,298.5,248.17
中央政府性基金,,中央政府性基金补充预算稳定调节基金,,,110.72,94.54
中央政府性基金,,中央政府性基金调入一般公共预算,,,26.31,69.02
地方政府性基金,,地方政府性基金本级收入,60301.81,57637.72,42440.54,38218.12
地方政府性基金,,国有土地使用权出让收入,54661.7,52059.01,37456.63,
地方政府性基金,,中央政府性基金对地方转移支付收入,984.46,,1110.12,1331.93
地方政府性基金,,地方政府发行专项债券收入,13500,,4000,1000
地方政府性基金,0,地方政府性基金本级收入总额,74786.27,,47550.66,40550.05
地方政府性基金,0,地方政府性基金支出总额,74786.27,58016.62,43961.66,39339.36
地方政府性基金,,国有土地使用权出让收入相关支出,66932.08,51779.63,38405.84,32895.3
全国国有资本经营预算,0,全国国有资本经营预算收入,2837.66,2578.69,2601.84,2560.16
全国国有资本经营预算,0,全国国有资本经营预算支出,2273.58,2010.93,2171.46,2078.57
中央国有资本经营预算,,中央国有资本经营预算收入,1376.82,1244.27,1430.17,1612.92
中央国有资本经营预算,,中央国有资本经营预算收入上年结转收入,113.59,,394.47,143.98
中央国有资本经营预算,0,中央国有资本经营预算收入总额,1490.41,,1824.64,1756.9
中央国有资本经营预算,0,中央国有资本经营预算支出,1168.87,1001.71,1450.61,1359.67
中央国有资本经营预算,,中央国有资本经营中央本级支出,,,937.08,1235.37
中央国有资本经营预算,,中央国有资本经营对地方转移支付,,,513.53,124.3
中央国有资本经营预算,,中央国有资本经营利润,,,374.03,
中央国有资本经营预算,,中央国有资本经营向一般公共预算调出,,,246,
中央国有资本经营预算,,中央国有资本经营结转下年,,,128.03,
地方国有资本经营预算,,地方国有资本经营预算本级收入,1460.84,,1171.67,947.24
地方国有资本经营预算,,中央国有资本经营预算对地方转移支付收入,100,,513.53,124.3
地方国有资本经营预算,0,地方国有资本经营收入总额,1560.84,1334.42,1685.2,1071.54
地方国有资本经营预算,0,地方国有资本经营预算支出,1204.71,1244.59,1234.38,843.2
地方国有资本经营预算,,,,,,
地方国有资本经营预算,,地方国有资本经营利润,,,450.82,
地方国有资本经营预算,,地方国有资本经营一般公共预算调出,,,246.91,
全国社会保险基金,0,全国社会保险基金收入,68092.99,55380.16,48272.53,44660.34
全国社会保险基金,,保险费收入,48507.48,39563.61,35065.86,32518.48
全国社会保险基金,,财政补贴收入,16984.08,12264.49,11104.34,10198.15
全国社会保险基金,0,全国社会保险基金支出,64542.32,48951.67,43918.94,39356.68
全国社会保险基金,,全国社会保险基金结余,,6428.49,4353.59,5303.66
全国社会保险基金,,年末滚存结余,,72037.47,63294.67,57002.33
